Size 674,2
5.956390528888887189e-12,2.048725195757346241e-11
1.247453452318887790e-11,5.934487297439371685e-12
-inf,inf
1.616235432523995863e+287,2.759129300931052426e+287
1.420236674870526361e+256,-1.442484599381072877e+255
1.007598058042031894e+201,-9.376466900990280947e+200
-3.134201045086429024e+190,3.862353287841908243e+191
9.896395339042946956e-12,3.778951637731147609e-12
4.073099151844350229e-11,1.557706283674381464e-12
3.423475075559303193e-11,4.028519633717691523e-11
2.163395054522458761e-11,3.586976256203039920e-12
2.472617145574446550e-11,1.799930254998436083e-12
4.142287594717233980e-12,2.525056058515344949e-11
3.919776531697741377e-11,1.133814333857282528e-11
4.064337859264542735e-11,2.282574402115413515e-11
4.005199134350853297e-11,8.838598102569281382e-13
1.530520508169393846e-11,4.218047007024969313e-11
3.161667038468621170e-11,2.592311863319150895e-12
2.797171498641094061e-12,1.923747933957168895e-11
8.104195636320805213e-13,3.995922471619293789e-11
1.699948445558293995e-11,1.257503170278078226e-11
1.953897087834738264e-11,2.322386746338354948e-11
9.047323014029364043e-12,3.691467554471024888e-11
5.148547816015571178e-12,1.601770431649288560e-11
1.773775219796955885e-11,2.967243648719684065e-11
8.370899689853145097e-12,3.693657877615976923e-11
2.653383226301917492e-11,3.831648235747923469e-11
-inf,inf
9.601837467377037719e+293,-1.561689888846366836e+294
-2.622688246190253964e+291,3.272448744562558555e+291
-2.396861980968911912e+287,1.831972574242430945e+288
3.294944004388860580e+284,4.895189216971572257e+284
6.635890370939594805e+281,1.508412381755726234e+281
-1.028754340918068084e+278,9.638982602126299450e+278
5.423493136618911419e+274,-9.051402102075806460e+275
1.266206983977882982e+270,2.302246284295531065e+272
5.837824564587263940e+269,-1.628343009311565030e+270
3.741303846108429283e+267,-2.807107760454662770e+267
-2.154314547278697854e+264,3.868357969925435906e+264
1.118518446328917933e+261,-1.333570757810836303e+261
-7.592158368741125511e+257,1.217797605997969382e+258
1.801990981516647946e+254,-8.356414840401964859e+253
-3.072694098435614785e+250,3.693773608578542936e+250
-1.024075058658578690e+246,-1.657322509421385991e+246
-2.191161138238713032e+242,4.637643524279458791e+242
1.240067023471083782e+239,-2.050327642674263936e+239
-5.758197216686823994e+233,-5.316236491103945211e+235
-4.615806701644577174e+231,-3.870630388924828012e+231
3.224195735257397947e+228,6.446571244216104744e+228
-2.403728484914104352e+224,3.640292725161772336e+224
5.230263496221511408e+220,-1.373593893845111150e+221
4.512633810246966406e+217,-8.474692775044954433e+217
-7.538512036374707414e+213,1.103158013408392341e+214
-2.104287089297780193e+210,1.373908035967958323e+210
9.476027261071914460e+284,-5.399872784182729088e+284
-1.217049885949312093e+285,-9.190795462536431322e+284
6.006728676244484207e+284,-8.686936032353210583e+284
-8.577968982344449239e+284,5.690928703963358604e+285
8.814694833077619906e+288,-1.159678493729530402e+290
3.534710991458064532e+290,-6.279926264461479962e+291
-6.386617469196278834e+291,3.786827347359946050e+291
5.407342119216326392e+295,-2.390445890542433839e+295
-4.646195891404890182e+295,-8.117611082438041047e+295
-5.706285089273302154e+291,1.878164750989581703e+291
2.933673088934395487e+296,2.171680847955207103e+296
-inf,-inf
inf,inf
-1.613906193119260567e+294,-2.249605914628302623e+293
2.283826305091471848e+290,-1.274273407051379533e+291
-3.415354650466795566e+287,2.203147238943732374e+288
9.204435029189203606e+283,1.269968427484138584e+285
2.233200926954673496e+281,-5.989608475831618727e+279
-8.032807552013524993e+278,-7.234843648247311594e+277
1.732810298046185822e+275,-3.961282700639161395e+275
6.107375916593137720e+271,-4.927673512357035212e+268
2.585267270487263645e+269,1.266175603106403046e+270
-1.783892056744144354e+267,5.887635502454361097e+265
6.461789078384045885e+262,8.632088486316320129e+261
4.410712600343498564e+258,4.584167474332045953e+259
9.429449563821211474e+250,1.051021863285344603e+252
-3.499650522497583335e+248,-1.022925457071332602e+248
1.422291069073729929e+245,8.155854716839142978e+244
-1.684121620380630571e+241,-1.951744124236907873e+241
-7.114624735845784745e+240,-1.826410594387292402e+241
3.222947841303641842e+237,4.946688842758168848e+237
1.829954046586623082e+237,4.323550886393629479e+237
3.179115958678012181e+236,2.466616447954910397e+236
-2.661023051534676684e+232,7.065016183116818068e+231
8.549089927794906332e+229,-3.537301848128808274e+230
1.301229293028529690e+226,2.361389588186421035e+227
1.169529891973880113e+224,3.976312704948398705e+225
7.437953912853106506e+220,2.906975594455008223e+221
-1.192243608731430936e+217,-1.105947907534517560e+218
-2.483767953861938240e+214,-5.629794617238374463e+214
1.642319363786059853e+211,-1.224299473920696815e+211
-4.909609581181907512e+207,-4.576041436795559467e+207
-2.170052496167708436e+203,4.163861268576321565e+203
-7.457636797567378274e+198,1.053716526643691044e+198
-4.321312274683006089e+200,8.198216427997704587e+200
5.434087301872090860e+203,-4.346247380164626123e+203
4.363907040329328138e+201,-1.354797881927220559e+202
-4.831308884613662850e+199,-7.187436319714240037e+199
-3.854602294561247348e+197,7.263132090189083139e+196
-1.633947876354452932e+194,8.020711195910929420e+194
1.177437752253557002e+192,1.228980225674493782e+192
-6.283422663020721937e+191,1.516107425141226737e+190
-1.749473064547392895e+188,-2.695517002924988178e+188
6.384527864738417464e+186,-2.331973370938509727e+187
-3.588278711425442637e+189,8.802217680689824939e+189
1.112276671375225775e+192,-1.726627367446469397e+192
1.130179107819119257e+193,-1.446507772263020821e+193
2.404256269027000495e+195,-6.977924969549228080e+195
-6.049429097374855675e+193,3.230765310700658894e+194
-3.576340939031015150e+184,-5.351695073957690341e+184
1.183272972324675490e+185,-2.967903718414711253e+183
-8.526394149829782548e+184,-1.502111355716565907e+185
6.947962403687682183e+185,-4.599979305390907445e+185
-2.630324941098159861e+186,-3.615062346640144131e+186
8.418831432593536842e+185,6.656845512303711186e+185
